"SUID","BetweennessCentrality","ClosenessCentrality","Degree","name","selected","shared name","Type"
"718","0.0","0.31283347","1","張正宇","false","張正宇","PERSON"
"719","3.374E-5","0.31389124","4","張文","false","張文","PERSON"
"720","5.7E-6","0.27540173","2","張慶","false","張慶","PERSON"
"721","5.7E-6","0.27540173","2","張惠康","false","張惠康","PERSON"
"722","2.31E-5","0.31371445","3","張念","false","張念","PERSON"
"723","3.374E-5","0.31389124","4","張德欽","false","張德欽","PERSON"
"724","4.8447E-4","0.32639906","5","張德","false","張德","PERSON"
"725","1.0111E-4","0.31584916","4","張學","false","張學","PERSON"
"726","6.1466E-4","0.32525547","8","張子","false","張子","PERSON"
"727","0.0","0.27912804","1","張嘯林","false","張嘯林","PERSON"
"728","8.54E-6","0.27870903","3","張嘉璈","false","張嘉璈","PERSON"
"729","0.0","0.26914714","1","龐京","false","龐京","PERSON"
"730","2.793E-5","0.28927551","4","康腦脫路一五九號電話","false","康腦脫路一五九號電話","PERSON"
"731","8.82E-6","0.27045399","4","康翰","false","康翰","PERSON"
"732","0.0","0.27111219","1","平止","false","平止","PERSON"
"733","2.884E-5","0.27594749","6","巴達","false","巴達","PERSON"
"734","3.253E-5","0.27377734","4","巴恩","false","巴恩","PERSON"
"735","0.0","0.27006061","1","工小生","false","工小生","PERSON"
"736","5.869E-4","0.31928919","9","崔萬","false","崔萬","PERSON"
"737","0.0","0.27635822","1","崇智","false","崇智","PERSON"
"738","8.54E-6","0.27870903","3","屈映","false","屈映","PERSON"
"739","9.35E-6","0.27230506","5","屈文","false","屈文","PERSON"
"740","7.3386E-4","0.36476752","9","韓啟克美產科醫院","false","韓啟克美產科醫院","ORG"
"741","7.3386E-4","0.36476752","9","路口總院","false","路口總院","ORG"
"742","7.3386E-4","0.36476752","9","蘇城世醫","false","蘇城世醫","ORG"
"743","7.3386E-4","0.36476752","9","脫路極司","false","脫路極司","ORG"
"744","7.3386E-4","0.36476752","9","東吳大學","false","東吳大學","ORG"
"745","7.3386E-4","0.36476752","9","中國醫藥研究社","false","中國醫藥研究社","ORG"
"746","1.7316E-4","0.28644896","8","尚希","false","尚希","PERSON"
"747","0.0","0.26811071","1","對馬","false","對馬","PERSON"
"748","3.2089E-4","0.31965567","4","對余","false","對余","PERSON"
"749","8.072E-5","0.31371445","5","將趙","false","將趙","PERSON"
"750","8.072E-5","0.31371445","5","將劉","false","將劉","PERSON"
"751","3.295E-5","0.2907857","4","寶耀庭","false","寶耀庭","PERSON"
"752","0.0","0.28882551","1","寳善","false","寳善","PERSON"
"753","3.374E-5","0.31389124","4","寄廎","false","寄廎","PERSON"
"754","0.0","0.27111219","1","家戴","false","家戴","PERSON"
"755","0.0","0.27635822","1","宜吿","false","宜吿","PERSON"
"756","1.963E-5","0.2904824","2","宏大","false","宏大","PERSON"
"757","7.78E-5","0.36333986","3","聞浙省臨時參議","false","聞浙省臨時參議","ORG"
"758","7.78E-5","0.36333986","3","省政","false","省政","ORG"
"759","7.78E-5","0.36333986","3","省參議","false","省參議","ORG"
"760","7.78E-5","0.36333986","3","大陸","false","大陸","ORG"
"761","0.00205878","0.33323362","14","宋漢章","false","宋漢章","PERSON"
"762","4.554E-4","0.36429039","7","鄭福蘭堂","false","鄭福蘭堂","ORG"
"763","4.554E-4","0.36429039","7","蕪湖中國釻行廿六年十二月二日","false","蕪湖中國釻行廿六年十二月二日","ORG"
"764","4.885E-4","0.31728852","7","宋桂記","false","宋桂記","PERSON"
"765","2.31E-5","0.31371445","3","宋孟華","false","宋孟華","PERSON"
"766","3.374E-5","0.31389124","4","宋士驤","false","宋士驤","PERSON"
"767","0.0","0.28882551","1","守淸","false","守淸","PERSON"
"768","3.3657E-4","0.33263661","3","守康","false","守康","PERSON"
"769","2.31E-5","0.31371445","3","孫鶴","false","孫鶴","PERSON"
"770","2.31E-5","0.31371445","3","孫道","false","孫道","PERSON"
"771","8.54E-6","0.27870903","3","孫起","false","孫起","PERSON"
"772","0.0","0.28882551","1","孫良","false","孫良","PERSON"
"773","2.31E-5","0.31371445","3","孫籌成","false","孫籌成","PERSON"
"774","3.1267E-4","0.2984195","6","孫科","false","孫科","PERSON"
"775","2.31E-5","0.31371445","3","孫相基","false","孫相基","PERSON"
"776","1.107E-5","0.27982919","6","孫滄","false","孫滄","PERSON"
"777","6.41E-6","0.27940808","3","孫洪芬","false","孫洪芬","PERSON"
"778","6.41E-6","0.27940808","3","孫洪","false","孫洪","PERSON"
"779","6.41E-6","0.27940808","3","孝述","false","孝述","PERSON"
"780","9.45E-6","0.27243825","9","孝翼","false","孝翼","PERSON"
"781","6.0E-7","0.26746699","3","孚將","false","孚將","PERSON"
"782","1.253E-5","0.27431667","5","孚任","false","孚任","PERSON"
"783","6.7296E-4","0.36500655","10","香港國民商業儲蓄銀行","false","香港國民商業儲蓄銀行","ORG"
"784","3.4315E-4","0.36429039","7","蕪湖滙安慶吳","false","蕪湖滙安慶吳","ORG"
"785","6.7296E-4","0.36500655","10","蕪湖中國銀行通訊","false","蕪湖中國銀行通訊","ORG"
"786","3.4315E-4","0.36429039","7","蕪湖中國銀行廿六年十二月二日","false","蕪湖中國銀行廿六年十二月二日","ORG"
"787","0.00246204","0.33645424","19","孔子","false","孔子","PERSON"
"788","0.00104848","0.29494308","8","威爾斯","false","威爾斯","PERSON"
"789","0.0","0.27111219","1","威廉","false","威廉","PERSON"
"790","5.105E-5","0.31336146","4","姚虞琴","false","姚虞琴","PERSON"
"791","2.31E-5","0.31371445","3","姚肇","false","姚肇","PERSON"
"792","2.31E-5","0.31371445","3","姚永言","false","姚永言","PERSON"
"793","0.00105959","0.36596583","14","滬港實業界","false","滬港實業界","ORG"
"794","0.00105959","0.36596583","14","國際博覽會出口協會","false","國際博覽會出口協會","ORG"
"795","0.00189928","0.36693017","18","中國國際博覽會出品協會","false","中國國際博覽會出品協會","ORG"
"796","0.00105959","0.36596583","14","上海慈善團體聯合救災會","false","上海慈善團體聯合救災會","ORG"
"797","0.01258006","0.39377872","38","姚佐頓","false","姚佐頓","PERSON"
"798","2.1874E-4","0.31746936","3","姑詩","false","姑詩","PERSON"
"799","6.4147E-4","0.33523924","5","奚良","false","奚良","PERSON"
"800","0.00541773","0.35421304","36","奚玉書","false","奚玉書","PERSON"
"801","4.7237E-4","0.3041223","10","奈格林","false","奈格林","PERSON"
"802","0.00368145","0.36548556","12","西安","false","西安","ORG"
"803","0.00368145","0.36548556","12","政院","false","政院","ORG"
"804","1.355E-5","0.27622118","3","夫率","false","夫率","PERSON"
"805","0.00108781","0.36357702","4","中中交農四行","false","中中交農四行","ORG"
"806","3.22E-6","0.26888728","2","太虛法","false","太虛法","PERSON"
"807","2.0511E-4","0.31477819","12","大昌興","false","大昌興","PERSON"
"808","1.414E-5","0.28912536","3","夏應堂","false","夏應堂","PERSON"
"809","2.382E-4","0.36357702","4","粵省黨政","false","粵省黨政","ORG"
"810","1.0322E-4","0.28454662","4","夏威","false","夏威","PERSON"
"811","8.3427E-4","0.29154672","8","壽景","false","壽景","PERSON"
"812","2.31E-5","0.31371445","3","壟靜","false","壟靜","PERSON"
"813","3.295E-5","0.2907857","4","壟振卿","false","壟振卿","PERSON"
"814","0.00339543","0.3652459","11","滬港工商界南洋商務考察","false","滬港工商界南洋商務考察","ORG"
"815","2.83E-6","0.27164106","2","堯兩人","false","堯兩人","PERSON"
"816","8.54E-6","0.27870903","3","培相","false","培相","PERSON"
"817","0.0","0.27635822","1","城處","false","城處","PERSON"
"818","4.6E-7","0.27243825","2","垂鑒","false","垂鑒","PERSON"
"819","2.056E-5","0.27084853","7","因茅","false","因茅","PERSON"
"820","3.501E-5","0.27297231","8","嚴諤","false","嚴諤","PERSON"
"821","3.295E-5","0.2907857","4","嚴蓉","false","嚴蓉","PERSON"
"822","6.0E-7","0.26746699","3","嚴大生","false","嚴大生","PERSON"
"823","0.0","0.27006061","1","嚴俊","false","嚴俊","PERSON"
"824","2.0511E-4","0.31477819","12","噪啓","false","噪啓","PERSON"
"825","9.3697E-4","0.36429039","7","甘肅省銓","false","甘肅省銓","ORG"
"826","9.3697E-4","0.36429039","7","滬童軍重","false","滬童軍重","ORG"
"827","9.3697E-4","0.36429039","7","比國紅","false","比國紅","ORG"
"828","9.3697E-4","0.36429039","7","台維遜","false","台維遜","ORG"
"829","9.3697E-4","0.36429039","7","南僑慰勞團","false","南僑慰勞團","ORG"
"830","9.3697E-4","0.36429039","7","健康知識","false","健康知識","ORG"
"831","9.3697E-4","0.36429039","7","上海健康知識社","false","上海健康知識社","ORG"
"832","2.699E-5","0.27006061","8","嘉庚","false","嘉庚","PERSON"
"833","1.0111E-4","0.31584916","4","喪張","false","喪張","PERSON"
"834","6.8512E-4","0.32697388","11","喇格","false","喇格","PERSON"
"835","0.0","0.26836907","1","商何","false","商何","PERSON"
"836","0.0","0.27006061","1","唐雲","false","唐雲","PERSON"
"837","3.1137E-4","0.36357702","4","英商公共汽車公司","false","英商公共汽車公司","ORG"
"838","3.1137E-4","0.36357702","4","工部局警務處","false","工部局警務處","ORG"
"839","7.4711E-4","0.36500655","10","納稅華人會","false","納稅華人會","ORG"
"840","7.4711E-4","0.36500655","10","公共租界納稅華人會","false","公共租界納稅華人會","ORG"
"841","0.00632437","0.35739493","34","唐拾義","false","唐拾義","PERSON"
"842","0.00173436","0.36596583","14","紗布交易所","false","紗布交易所","ORG"
"843","0.00173436","0.36596583","14","寧波旅滬同鄕會","false","寧波旅滬同鄕會","ORG"
"844","0.00173436","0.36596583","14","寧波旅滬同鄉會","false","寧波旅滬同鄉會","ORG"
"845","0.00173436","0.36596583","14","上海鴻壽書","false","上海鴻壽書","ORG"
"846","0.00173436","0.36596583","14","上海美術音樂研究院","false","上海美術音樂研究院","ORG"
"847","1.15E-6","0.26849843","5","唐志良","false","唐志良","PERSON"
"848","5.4494E-4","0.31620778","10","唐壽民","false","唐壽民","PERSON"
"849","3.7775E-4","0.36357702","4","美聯社","false","美聯社","ORG"
"850","3.7775E-4","0.36357702","4","日華","false","日華","ORG"
"851","7.508E-5","0.27745953","6","哲元","false","哲元","PERSON"
"852","5.5821E-4","0.33483619","4","哈德","false","哈德","PERSON"
"853","2.1874E-4","0.31746936","3","哀履","false","哀履","PERSON"
"854","3.374E-5","0.31389124","4","咨園","false","咨園","PERSON"
"855","2.884E-5","0.27594749","6","命張","false","命張","PERSON"
"856","0.00212553","0.3645288","8","聯合準備銀行","false","聯合準備銀行","ORG"
"857","0.00212553","0.3645288","8","經濟部滇省建設廳","false","經濟部滇省建設廳","ORG"
"858","0.00212553","0.3645288","8","參政院","false","參政院","ORG"
"859","8.82E-6","0.27045399","4","周醒","false","周醒","PERSON"
"860","1.527E-5","0.27257157","7","周邦俊","false","周邦俊","PERSON"
"861","0.00119442","0.32793641","11","周邦","false","周邦","PERSON"
"862","0.0","0.26836907","1","周某","false","周某","PERSON"
"863","1.9086E-4","0.31602837","5","周松","false","周松","PERSON"
