id,Type,mc3Degree,mc3Degree_norm,mc3Eig,mc3Betw,mc3Close
鈞鑒,PERSON,93,0.006566869086287248,0.022503791871290427,105220.86978439901,2.168821028888696e-5
李萬,PERSON,1,7.061149555147578e-5,9.272249440546562e-5,0,1.9388863037071507e-5
上海浙東塘工水利研究會,ORG,10,7.061149555147578e-4,0.010105731499418487,44716.23553697964,2.6727248429774155e-5
田世澤,PERSON,35,0.0024714023443016524,0.004866196783301182,4752.546946086802,1.9879925251481054e-5
張美翊,PERSON,12,8.473379466177093e-4,0.0029722207747847236,1064.2591065890238,1.9820034090458636e-5
袁子壯,PERSON,10,7.061149555147578e-4,0.0023540025695937467,390.6570003891552,1.96649099347125e-5
周金箴,PERSON,777,0.05486513204349668,0.23643412560225432,1386128.9966205894,2.591882224871702e-5
郁屏翰,PERSON,34,0.0024007908487501763,0.01491592552536795,9008.387644242774,2.088903743315508e-5
葉又新,PERSON,5,3.530574777573789e-4,0.002967802674437382,819.7816108641764,1.9837333862328903e-5
清下府,ORG,6,4.2366897330885467e-4,0.011804353998332016,2372.4181262996976,2.6721534884963792e-5
十一西國商會,ORG,2,1.4122299110295156e-4,0.009729075583000756,20.343616844805553,2.6712969146520635e-5
工部局,ORG,266,0.01878265781669256,0.10676398516009046,918443.6254841274,2.71333604666938e-5
中國新闻社,ORG,4,2.8244598220590313e-4,0.00931918629183407,1811.559999173471,2.671867902850883e-5
南北捲烟業聯合會,ORG,4,2.8244598220590313e-4,0.009319186291834066,1811.559999173471,2.671867902850883e-5
沈維挺,PERSON,54,0.003813020759779692,0.008553732135007014,44051.28878888254,2.1063274075322267e-5
沈延康,PERSON,4,2.8244598220590313e-4,0.0014203705867515736,1163.046344434453,2.0159664543182003e-5
陳恩祺,PERSON,29,0.0020477333709927976,0.005714647480637633,7465.585602817684,2.0692794768861482e-5
胡甸蓀,PERSON,12,8.473379466177093e-4,0.0010626387993175402,581.5714159260802,1.9471163207290002e-5
曹慕管,PERSON,71,0.0050134161841547805,0.017916215719827492,31680.54680296204,2.1303792074989347e-5
烟紙雜貨公會,ORG,3,2.1183448665442733e-4,0.009309980486057122,473.5994177473882,2.671439638821361e-5
東南通信社云華界,ORG,3,2.1183448665442733e-4,0.009309980486057126,473.5994177473882,2.671439638821361e-5
捲烟特稅,ORG,3,2.1183448665442733e-4,0.00930998048605713,473.5994177473882,2.671439638821361e-5
南京捲菸特稅總處,ORG,3,2.1183448665442733e-4,0.009309980486057122,473.5994177473882,2.671439638821361e-5
蔣維喬,PERSON,27,0.001906510379889846,0.006490549056649311,5233.569156026474,2.0501045553323218e-5
云洽卿,PERSON,28,0.001977121875441322,0.008194869623940027,8755.771165326685,2.0846362309776944e-5
徐慶雲,PERSON,37,0.0026126253354046038,0.012676413866746734,6941.640438091457,2.0855927254525735e-5
田特霖,PERSON,1,7.061149555147578e-5,9.298803206807232e-4,0,1.9705210057539212e-5
錢新之,PERSON,156,0.011015393306030222,0.04537790576406533,99386.74163922708,2.2541815066949192e-5
陳介卿,PERSON,21,0.0014828414065809915,0.007517634187131697,6269.529595880756,2.065091690071039e-5
倪遠甫,PERSON,63,0.004448524219742974,0.01921456059021494,38079.19524621402,2.164877034984413e-5
江少峯,PERSON,12,8.473379466177093e-4,0.008788473006916207,7002.590798255788,2.0966118752096612e-5
榮宗,PERSON,1,7.061149555147578e-5,9.298803206807235e-4,0,1.9705210057539212e-5
張壽,PERSON,1,7.061149555147578e-5,9.298803206807238e-4,0,1.9705210057539212e-5
石運乾,PERSON,89,0.006284423104081344,0.02299722719103749,116966.71511329793,2.2097494144164052e-5
陳延鐘,PERSON,1,7.061149555147578e-5,9.298803206807231e-4,0,1.9705210057539212e-5
穆景庭,PERSON,6,4.2366897330885467e-4,0.00335118794440437,2214.337769551164,2.024127601003967e-5
靳翼青,PERSON,4,2.8244598220590313e-4,0.0012188049428356652,209.24761875170486,1.9746455511235732e-5
政府,ORG,388,0.0273972602739726,0.10134672182458644,1604085.6539433778,2.7332112498975046e-5
鄒靜齋,PERSON,104,0.007343595537353481,0.02430411544681527,96072.54152583034,2.186079048618398e-5
陳少舟,PERSON,8,5.648919644118063e-4,0.002465334361428501,1795.4194957580146,2.0208552259316142e-5
馬乙棠,PERSON,15,0.0010591724332721366,0.002083682614595777,1534.7972412008685,1.9656406022722804e-5
楊叔蘋,PERSON,4,2.8244598220590313e-4,3.897960890657365e-4,0.4066985645933014,1.9397889509621353e-5
楊俊維,PERSON,4,2.8244598220590313e-4,3.897960890657365e-4,0.4066985645933014,1.9397889509621353e-5
吳序東,PERSON,4,2.8244598220590313e-4,3.8979608906573654e-4,0.4066985645933014,1.9397889509621353e-5
伍詠霞,PERSON,4,2.8244598220590313e-4,3.897960890657364e-4,0.4066985645933014,1.9397889509621353e-5
川帮,ORG,19,0.00134161841547804,0.01061701104619124,48192.62694011468,2.6738682852482685e-5
羅雨均,PERSON,4,2.8244598220590313e-4,3.897960890657363e-4,0.4066985645933014,1.9397889509621353e-5
楊南陔,PERSON,4,2.8244598220590313e-4,3.897960890657364e-4,0.4066985645933014,1.9397889509621353e-5
蘇予章,PERSON,4,2.8244598220590313e-4,3.897960890657361e-4,0.4066985645933014,1.9397889509621353e-5
太古大班,ORG,19,0.00134161841547804,0.010617011046191236,48192.62694011468,2.6738682852482685e-5
歇潑,PERSON,4,2.8244598220590313e-4,3.897960890657364e-4,0.4066985645933014,1.9397889509621353e-5
潘吉人,PERSON,4,2.8244598220590313e-4,3.897960890657363e-4,0.4066985645933014,1.9397889509621353e-5
日清,ORG,19,0.00134161841547804,0.010617011046191232,48192.62694011468,2.6738682852482685e-5
岡野,PERSON,4,2.8244598220590313e-4,3.8979608906573616e-4,0.4066985645933014,1.9397889509621353e-5
關子明,PERSON,4,2.8244598220590313e-4,3.897960890657363e-4,0.4066985645933014,1.9397889509621353e-5
報關轉運公所,ORG,20,0.0014122299110295156,0.010632450948859873,49274.65582859405,2.6740112843276198e-5
袁正初,PERSON,4,2.8244598220590313e-4,3.897960890657364e-4,0.4066985645933014,1.9397889509621353e-5
徐菊如,PERSON,222,0.015675752012427623,0.11994390917995597,83898.66244786323,2.2512381809995496e-5
尤森庭,PERSON,12,8.473379466177093e-4,0.0032729753890250054,2537.9012909003,1.9786307874950533e-5
上海浙江旅滬學會,ORG,5,3.530574777573789e-4,0.009253526647630765,3961.131927946566,2.6717251329183253e-5
歌陽,PERSON,4,2.8244598220590313e-4,0.0010265728815648373,61.084971237131725,1.9595547891519047e-5
楊善德,PERSON,13,9.179494421691851e-4,0.003665766361134503,1758.1919201353262,2.0052939760968958e-5
齊耀珊,PERSON,10,7.061149555147578e-4,0.0024639495521115097,1030.1569136133292,1.983103954309285e-5
商會,ORG,199,0.01405168761474368,0.07170533597710452,505385.994992389,2.706286704013423e-5
顧竹溪,PERSON,7,4.942804688603305e-4,0.0013762827594540595,259.6833281707725,1.9620153822005963e-5
杭總商會,ORG,45,0.00317751729981641,0.021672757608098156,68048.85279325707,2.6780214777322515e-5
紹興商會,ORG,5,3.530574777573789e-4,0.009253526647630765,3961.131927946566,2.6717251329183253e-5
陳潤夫,PERSON,261,0.01842960033893518,0.11625878625923969,218200.0778900856,2.3394001777944135e-5
顧馨一,PERSON,1094,0.07724897613331451,0.502908900107585,1473222.22139459,2.6530828823092432e-5
葉鴻英,PERSON,430,0.030362943087134584,0.25432159400315774,230664.0908981864,2.316316130825535e-5
唐鳳墀,PERSON,75,0.005295862166360683,0.018038863316346167,10737.793285713105,2.0364110292021342e-5
唐少川,PERSON,80,0.005648919644118062,0.02117927495330232,73723.3485921933,2.214937538761407e-5
吳滌宣,PERSON,6,4.2366897330885467e-4,0.0021073035701995955,78.92147156931668,1.961784439125829e-5
陳良玉,PERSON,196,0.013839853128089254,0.04072752122987226,293294.6602526475,2.2868642517380167e-5
徐小圃,PERSON,15,0.0010591724332721366,0.0053281413561800895,837.292197401574,1.996247055535593e-5
