"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient","Type"
"4.1107027","6.1E-7","0.24326741","0.0","3","8","false","凌福彭","62.0","3","0","0","0.65436637","false","0","凌福彭","5002","0.57009346","PERSON"
"4.1107027","6.1E-7","0.24326741","0.0","3","8","false","曹允源","62.0","3","0","0","0.65436637","false","0","曹允源","5002","0.57009346","PERSON"
"3.83654054","0.0","0.26065149","0.0","1","7","false","洪濤","188.0","1","0","0","0.68482883","false","0","洪濤","0","0.0","PERSON"
"4.1107027","6.1E-7","0.24326741","0.0","3","8","false","楊士夑","62.0","3","0","0","0.65436637","false","0","楊士夑","5002","0.57009346","PERSON"
"3.83654054","0.0","0.26065149","0.0","1","7","false","施潤香","188.0","1","0","0","0.68482883","false","0","施潤香","0","0.0","PERSON"
"4.1107027","6.1E-7","0.24326741","0.0","3","8","false","張符元","62.0","3","0","0","0.65436637","false","0","張符元","5002","0.57009346","PERSON"
"3.83654054","0.0","0.26065149","0.0","1","7","false","顧溶","188.0","1","0","0","0.68482883","false","0","顧溶","0","0.0","PERSON"
"4.1107027","6.1E-7","0.24326741","0.0","3","8","false","葉季銓","62.0","3","0","0","0.65436637","false","0","葉季銓","5002","0.57009346","PERSON"
"3.83654054","0.0","0.26065149","0.0","1","7","false","蘇紹良","188.0","1","0","0","0.68482883","false","0","蘇紹良","0","0.0","PERSON"
"4.1107027","6.1E-7","0.24326741","0.0","3","8","false","張鴻南","62.0","3","0","0","0.65436637","false","0","張鴻南","5002","0.57009346","PERSON"
"3.83654054","0.0","0.26065149","0.0","1","7","false","何良棟","188.0","1","0","0","0.68482883","false","0","何良棟","0","0.0","PERSON"
"4.1107027","6.1E-7","0.24326741","0.0","3","8","false","劉詒愼","62.0","3","0","0","0.65436637","false","0","劉詒愼","5002","0.57009346","PERSON"
"3.83654054","0.0","0.26065149","0.0","1","7","false","王霆煦","188.0","1","0","0","0.68482883","false","0","王霆煦","0","0.0","PERSON"
"4.1107027","6.1E-7","0.24326741","0.0","3","8","false","涂懋儒","62.0","3","0","0","0.65436637","false","0","涂懋儒","5002","0.57009346","PERSON"
"3.83654054","0.0","0.26065149","0.0","1","7","false","范裕德","188.0","1","0","0","0.68482883","false","0","范裕德","0","0.0","PERSON"
"4.1107027","6.1E-7","0.24326741","0.0","3","8","false","曹榮黻","62.0","3","0","0","0.65436637","false","0","曹榮黻","5002","0.57009346","PERSON"
"3.83654054","0.0","0.26065149","0.0","1","7","false","丁樹曾","188.0","1","0","0","0.68482883","false","0","丁樹曾","0","0.0","PERSON"
"4.1107027","6.1E-7","0.24326741","0.0","3","8","false","程更森","62.0","3","0","0","0.65436637","false","0","程更森","5002","0.57009346","PERSON"
