DocId,Date,Title,Source
SPSP190205190913,19020519,各洋貨號四季捐淸單,shunpao
SPSP190212030310,19021203,推食食人,shunpao
SPSP190212160312,19021216,惠澤覃敷,shunpao
SPSP190212210906,19021221,貧病有依,shunpao
SPSP190211100310,19021110,休徵立至,shunpao
SPSP190204040314,19020404,遍呼將伯,shunpao
SPSP190203140908,19020314,去臘各洋貨號冬季捐清單,shunpao
SPSP190112150906,19011215,聿修厥德,shunpao
SPSP190112240314,19011224,藥石之言,shunpao
SPSP190107020313,19010702,請繳捐册,shunpao
SPSP190103070310,19010307,定期開塾并講鄕約,shunpao
SPSP190012150907,19001215,美意延年,shunpao
SPSP190106280906,19010628,善與人同,shunpao
SPSP190403020313,19040302,筵資造褔,shunpao
SPSP190403060314,19040306,定期開塾,shunpao
SPSP190312180311,19031218,定期施粥,shunpao
SPSP190412211003,19041221,德爲福基,shunpao
SPSP190409260311,19040926,如願以償,shunpao
SPSP190501290311,19050129,歌興飽德,shunpao
SPSP190501301005,19050130,筵資造福,shunpao
SPSP190603311806,19060331,煦物皆春,shunpao
SPSP190405020909,19040502,仁施稠疉,shunpao
SPSP190606121004,19060612,四月十二日至閏四月二十日施醫給藥捐清單,shunpao
SPSP190605111101,19060511,三月十四日至四月十一日止施藥捐育嬰捐清單,shunpao
SPSP190406030308,19040603,富貴壽考,shunpao
SPSP190406040310,19040604,仁施稠壘,shunpao
SPSP190507091107,19050709,同心行善,shunpao
SPSP190311300314,19031130,推解情殷,shunpao
SPSP192302101006,19230210,浙省長請赦李思浩,shunpao
SPSP192209041504,19220904,民達油廠獲獎,shunpao
SPSP190001010911,19000101,春回黍谷,shunpao
SPSP190001050310,19000105,添募棉衣,shunpao
SPSP190001060310,19000106,普沾實惠,shunpao
SPSP190001090903,19000109,載弄之璋,shunpao
SPSP189912131004,18991213,醫藥安懷册等捐清單,shunpao
SPSP190002160310,19000216,定期開塾,shunpao
SPSP190002240909,19000224,各洋貨寳號已亥冬季捐清單,shunpao
SPSP189911291002,18991129,各洋貨寶號秋季捐,shunpao
SPSP190008180905,19000818,各洋貨號夏季捐,shunpao
SPSP190005290310,19000529,添請各醫,shunpao
SPSP190011130906,19001113,預助粥捐,shunpao
SPSP190710070405,19071007,淞滬要聞,shunpao
SPSP192311281312,19231128,甬人請增警添械之覆電,shunpao
SPSP191705041102,19170504,反出售甬興輪船之近訊,shunpao
SPSP192008061109,19200806,四明公所募捐消息,shunpao
SPSP192107131113,19210713,寗波,shunpao
SPSP190310241003,19031024,七月初一日至八月十七日止施藥捐清單,shunpao
SPSP190304300314,19030430,孳孳爲善,shunpao
SPSP190212110906,19021211,羣黎徧德,shunpao
SPSP190203060308,19020306,續募春振,shunpao
SPSP190203100904,19020310,作善降祥,shunpao
SPSP190201210904,19020121,推解情殷,shunpao
SPSP190012090905,19001209,有美畢臻,shunpao
SPSP190012260905,19001226,厚惠有加,shunpao
SPSP190401020911,19040102,惠彼黎庶,shunpao
SPSP190409140311,19040914,定邀天眷,shunpao
SPSP190511301713,19051130,籌辦崇匯沙寳水災賑欵由屏號經收經放第八次淸單,shunpao
SPSP190603201807,19060320,願祝恆春,shunpao
SPSP190605181014,19060518,救急功崇,shunpao
SPSP190403261002,19040326,正月份經收施米捐施藥捐淸單,shunpao
SPSP190311290317,19031129,眼前功德,shunpao
SPSP190707142012,19070714,銅洋欵撥助雲南振濟,shunpao
SPSP190707142112,19070714,銅洋欵撥助雲南振濟,shunpao
SPSP190703231901,19070323,來函續添保赤,shunpao
SPSP192305101314,19230510,金淸輪肇事案判决後續聞,shunpao
SPSP190009070310,19000907,先聲之導,shunpao
SPSP190101210909,19010121,一視同仁,shunpao
SPSP191204300305,19120430,漢冶萍公司籲請護持電文,shunpao
SPSP191905061008,19190506,中行股東再致議和代表書,shunpao
SPSP192508031427,19250803,甬同鄉會選舉揭曉,shunpao
SPSP192308021506,19230802,甬同鄕會複選揭曉,shunpao
SPSP193604221311,19360422,特寫,shunpao
SPSP192601110872,19260111,花柳病指迷,shunpao
SPSP192601130878,19260113,花柳病指迷,shunpao
SPSP192403171408,19240317,大達輪步公司股東會紀,shunpao
